,Country,Sector,Gas,2017,2016,2015
0,Afghanistan,Agriculture,All GHG,8.725445408862495,8.95670439957988,8.989497418857177
1,Afghanistan,Building,All GHG,0.07423481041571493,0.023339946318123465,0.011867323325223996
2,Afghanistan,Bunker Fuels,All GHG,0.02284148012791229,0.023339946318123465,0.017800984987835992
3,Afghanistan,Electricity/Heat,All GHG,0.11991777067153951,0.11669973159061732,0.10087224826440397
4,Afghanistan,Energy,All GHG,44.380995888533576,44.305053098377876,44.34818726636207
5,Afghanistan,Fugitive Emissions,All GHG,1.2619917770671538,1.2778620609172597,1.2935382424494157
6,Afghanistan,Industrial Processes,All GHG,0.5196436729100046,0.44345898004434586,0.3500860380941079
7,Afghanistan,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
8,Afghanistan,Manufacturing/Construction,All GHG,1.9643672910004568,1.7213210409616055,1.7148282204948673
9,Afghanistan,Other Fuel Combustion,All GHG,38.9333028780265,38.738475901505424,38.3314543404735
10,Afghanistan,Transportation,All GHG,2.0271813613522154,2.4273544170848402,2.895626891354655
11,Afghanistan,Waste,All GHG,1.9700776610324349,1.9663904773019019,1.9462410253367353
12,Armenia,Agriculture,All GHG,11.964171465131157,14.916773367477592,11.454311454311453
13,Armenia,Building,All GHG,8.445297504798464,7.93854033290653,7.400257400257399
14,Armenia,Bunker Fuels,All GHG,1.471529110684581,1.47247119078105,1.093951093951094
15,Armenia,Electricity/Heat,All GHG,8.061420345489443,7.618437900128041,8.301158301158301
16,Armenia,Energy,All GHG,40.179142674344206,38.60435339308579,40.09009009009009
17,Armenia,Fugitive Emissions,All GHG,5.758157389635317,5.7618437900128034,5.8558558558558556
18,Armenia,Industrial Processes,All GHG,2.4312220089571337,2.560819462227913,3.2175032175032174
19,Armenia,Land-Use Change and Forestry,All GHG,-0.9596928982725528,-0.9603072983354672,-0.9009009009009009
20,Armenia,Manufacturing/Construction,All GHG,2.8790786948176583,2.560819462227913,2.638352638352638
21,Armenia,Other Fuel Combustion,All GHG,4.350607805502239,4.609475032010243,5.34105534105534
22,Armenia,Transportation,All GHG,10.684580934101087,10.115236875800255,10.68211068211068
23,Armenia,Waste,All GHG,4.73448496481126,4.801536491677337,4.826254826254826
24,Australia,Agriculture,All GHG,16.233182063533313,12.601643143037707,15.967951719473495
25,Australia,Building,All GHG,1.4863757221966774,1.5620391826416682,1.5025232818271685
26,Australia,Bunker Fuels,All GHG,2.089122568521221,2.0265430798398985,1.8979241454658968
27,Australia,Electricity/Heat,All GHG,22.609504008316506,23.77080261217611,22.847926746787373
28,Australia,Energy,All GHG,42.62209871853821,44.552348851906466,43.01961396389367
29,Australia,Fugitive Emissions,All GHG,3.65146638411867,3.820307562671161,3.6470527027730086
30,Australia,Industrial Processes,All GHG,1.7852501949181343,1.9159469138403202,1.8646272306331622
31,Australia,Land-Use Change and Forestry,All GHG,-6.573239239519403,-6.9264798820307565,-6.970501014515374
32,Australia,Manufacturing/Construction,All GHG,3.7534235621039156,3.949863071413524,3.9217522501430735
33,Australia,Other Fuel Combustion,All GHG,1.3584294596269566,1.3819254265852117,1.3037823214192812
34,Australia,Transportation,All GHG,9.763899162351812,10.068464293237833,9.796576660943762
35,Australia,Waste,All GHG,1.2204873952939765,1.276595744680851,1.2007699911555072
36,Azerbaijan,Agriculture,All GHG,4.79694354039904,4.816099930603746,4.767506227511764
37,Azerbaijan,Building,All GHG,4.344134710626859,4.663428174878556,4.144755051203986
38,Azerbaijan,Bunker Fuels,All GHG,1.0824961086741196,1.0756419153365717,1.3216163852753946
39,Azerbaijan,Electricity/Heat,All GHG,10.103297014291783,9.944482997918112,9.977857735953503
40,Azerbaijan,Energy,All GHG,48.224140370737246,48.237335183900065,48.131746471076674
41,Azerbaijan,Fugitive Emissions,All GHG,26.1780104712042,26.19014573213046,26.57071685579851
42,Azerbaijan,Industrial Processes,All GHG,0.8277911419272679,0.7980569049271337,0.8580127318018268
43,Azerbaijan,Land-Use Change and Forestry,All GHG,-5.992641856516205,-5.877862595419847,-5.85386105729311
44,Azerbaijan,Manufacturing/Construction,All GHG,1.2381491439083068,1.936155447605829,1.6053141433711597
45,Azerbaijan,Other Fuel Combustion,All GHG,0.983444177161455,0.9507286606523246,1.003321339606975
46,Azerbaijan,Transportation,All GHG,5.377104853544646,4.545454545454545,4.829781345142542
47,Azerbaijan,Waste,All GHG,2.8371303240413197,2.720333102012491,2.643232770550789
48,Bangladesh,Agriculture,All GHG,28.884549341773006,29.400795186657756,30.303783093193275
49,Bangladesh,Building,All GHG,3.238948183562843,3.1807466310122794,2.8107033856199877
50,Bangladesh,Bunker Fuels,All GHG,1.3972593515369855,1.4742619893740547,1.4124494286322664
51,Bangladesh,Electricity/Heat,All GHG,12.474327463721758,12.758171774392176,11.927745049329266
52,Bangladesh,Energy,All GHG,27.54452712029898,27.046901938707297,26.56327631485556
53,Bangladesh,Fugitive Emissions,All GHG,0.47473149052220465,0.4925935048027867,0.4968415075590887
54,Bangladesh,Industrial Processes,All GHG,1.1817783912999562,1.0731501354632138,0.9191567889843141
55,Bangladesh,Land-Use Change and Forestry,All GHG,6.5856368472442,6.882234967101791,7.197104123784514
56,Bangladesh,Manufacturing/Construction,All GHG,5.84155415642571,5.1933429506350945,6.107601675065655
57,Bangladesh,Other Fuel Combustion,All GHG,1.831588162014747,1.9703740192111467,1.9341330115693096
58,Bangladesh,Transportation,All GHG,3.6833776640517155,3.4516730586538125,3.286251685712258
59,Bangladesh,Waste,All GHG,6.861721827547894,7.0757538439886005,7.040953935694514
